period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2025-01,ND,North Dakota,ALL,all sectors,487324,7.86,224.77662,2860.88192,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ND,North Dakota,COM,commercial,77428,7.19,75.20998,1045.71452,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ND,North Dakota,IND,industrial,10767,7.3,85.24639,1167.11263,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ND,North Dakota,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ND,North Dakota,RES,residential,399129,9.93,64.32024,648.05478,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ND,North Dakota,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NE,Nebraska,ALL,all sectors,1144762,8.92,290.58851,3257.45814,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NE,Nebraska,COM,commercial,164103,8.15,98.61944,1210.1751,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NE,Nebraska,IND,industrial,61133,7.75,66.68273,860.96931,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NE,Nebraska,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NE,Nebraska,RES,residential,919526,10.56,125.28634,1186.31373,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,NE,Nebraska,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
